aplaudirati,aplaudira,aplaudirao,aplaudirala,aplaudiralo,aplaudirace aplaudiracu aplaudiraces
natovariti,natovari,natovario,natovarila,natovarilo,natovarice natovaricu natovarices
pretovariti,pretovari,pretovario,pretovarila,pretovarilo,pretovarice pretovaricu pretovarices
razboleti,razboli,razboleo,razbolela,razbolelo,razbolece razbolecu razboleces
zaboleti,zaboli,zaboleo,zabolela,zabolelo,zabolece zabolecu zaboleces
zaboravljati,zaboravlja,zaboravljao,zaboravljala,zaboravljalo,zaboravljace zaboravljacu zaboravljaces
zaboraviti,zaboravi,zaboravio,zaboravila,zaboravilo,zaboravice zaboravicu zaboravices
pisati,pise,pisao,pisala,pisalo,pisace pisacu pisaces
napisati,napise,napisao,napisala,napisalo,napisace napisacu napisaces
prepisati,prepise,prepisao,prepisala,prepisalo,prepisace prepisacu prepisaces
zapisati,zapise,zapisao,zapisala,zapisalo,zapisace zapisacu zapisaces
upisati,upise,upisao,upisala,upisalo,upisace upisacu upisaces
dopisati,dopise,dopisao,dopisala,dopisalo,dopisace dopisacu dopisaces
zaviti,zavija,zavio,zavila,zavilo,zavice zavicu zavices
motati,mota,motao,motala,motalo,motace motacu motaces
premotati,premotava,premotao,premotala,premotalo,premotace premotacu premotaces
zamotati,zamotava,zamotao,zamotala,zamotalo,zamotace zamotacu zamotaces
umoriti,umori,umorio,umorila,umorilo,umorice umoricu umorices
zamoriti,zamori,zamorio,zamorila,zamorilo,zamorice zamoricu zamorices
premoriti,premori,premorio,premorila,premorilo,premorice premoricu premorices
krenuti,krece,krenuo,krenula,krenulo,krenuce krenucu krenuces
okrenuti,okrece,okrenuo,okrenula,okrenulo,okrenuce okrenucu okrenuces
zakinuti,zakine,zakinuo,zakinula,zakinulo,zakinuce zakinucu zakinuces
zavoditi,zavodi,zavodio,zavodila,zavodilo,zavodice zavodicu zavodices
navoditi,navodi,navodio,navodila,navodilo,navodice navodicu navodices
zavesti,zavodi,zavodio,zavodila,zavodilo,zavesce zavescu zavesces
poceti,pocinje,poceo,pocela,pocelo,pocece pocecu poceces
zapoceti,zapocinje,zapoceo,zapocela,zapocelo,zapocece zapocecu zapoceces
naviti,navija,navio,navila,navilo,navice navicu navices
paliti,pali,palio,palila,palilo,palice palicu palices
upaliti,upali,upalio,upalila,upalilo,upalice upalicu upalices
zapaliti,zapali,zapalio,zapalila,zapalilo,zapalice zapalicu zapalices
zadati,zada,zadao,zadala,zadalo,zadace zadacu zadaces
predati,preda,predao,predala,predalo,predace predacu predaces
pocinjati,pocinje,pocinjao,pocinjala,pocinjalo,pocinjace pocinjacu pocinjaces
zapocinjati,zapocinje,zapocinjao,zapocinjala,zapocinjalo,zapocinjace zapocinjacu zapocinjaces
otpocinjati,otpocinje, otpocinjao,otpocinjala,otpocinjalo,otpocinjace otpocinjacu otpocinjaces
doruckovati,doruckuje,doruckovao,doruckovala,doruckovalo,doruckovace doruckovacu doruckovaces
vecerati,vecera,vecerao,vecerala,veceralo,vecerace veceracu veceraces
rucati,ruca,rucao,rucala,rucalo,rucace rucacu rucaces
viriti,viri,virio,virila,virilo,virice viricu virices
zaviriti,zaviri,zavirio,zavirila,zavirilo,zavirice zaviricu zavirices
progovoriti,progovori,progovorio,progovorila,progovorilo,progovorice progovoricu progovorices
nagovoriti,nagovori,nagovorio,nagovorila,nagovorilo,nagovorice nagovoricu nagovorices
zagovarati,zagovora,zagovarao,zagovarala,zagovaralo,zagovarace zagovaracu zagovaraces
nagovarati,nagovora,nagovarao,nagovarala,nagovaralo,nagovarace nagovaracu nagovaraces
ogovarati,ogovora,ogovarao,ogovarala,ogovaralo,ogovarace ogovaracu ogovaraces
postavljati,postavlja,postavljao,postavljala,postavljalo,postavljace postavljacu postavljaces
postaviti,postavi,postavio,postavila,postavilo,postavice postavicu postavices
pitati,pita,pitao,pitala,pitalo,pitace pitacu pitaces
raspitati,raspita,raspitao,raspitala,raspitalo,raspitace raspitacu raspitaces
propitati,propita,propitao,propitala,propitalo,propitace propitacu propitaces
zapitati,zapita,zapitao,zapitala,zapitalo,zapitace zapitacu zapitaces
zakazati,zakaze,zakazao,zakazala,zakazalo,zakazace zakazacu zakazaces
kasniti,kasni,kasnio,kasnila,kasnilo,kasnice kasnicu kasnices
zakasniti,zakasni,zakasnio,zakasnila,zakasnilo,zakasnice zakasnicu zakasnices
zakljuciti,zakljucuje,zakljucio,zakljucila,zakljucilo,zakljucice zakljucicu zakljucices
otkljucati,otkljuca,otkljucao,otkljucala,otkljucalo,otkljucace otkljucacu otkljucaces
kljucati,kljuca,kljucao,kljucala,kljucalo,kljucace kljucacu kljucaces
zakljucavati,zakljucava,zakljucavao,zakljucavala,zakljucavalo,zakljucavace zakljucavacu zakljucavaces
povikati,povice,povikao,povikala,povikalo,povikace povikacu povikaces
vrsiti,vrsi,vrsio,vrsila,vrsilo,vrsice vrsicu vrsices
zavrsiti,zavrsi,zavrsio,zavrsila,zavrsilo,zavrsice zavrsicu zavrsices
zavrsavati,zavrsava,zavrsavao,zavrsavala,zavrsavalo,zavrsavace zavrsavacu zavrsavaces
preporuciti,preporuci,preporucio,preporucila,preporucilo,preporucice preporucicu preporucices
zatvoriti,zatvori,zatvorio,zatvorila,zatvorilo,zatvorice zatvoricu zatvorices
zatvarati,zatvara,zatvarao,zatvarala,zatvaralo,zatvarace zatvaracu zatvaraces
otvarati,otvara,otvarao,otvarala,otvaralo,otvarace otvaracu otvaraces
otvoriti,otvori,otvorio,otvorila,otvorilo,otvorice otvoricu otvorices
pretvoriti,pretvori,pretvorio,pretvorila,pretvorilo,pretvorice pretvoricu pretvorices
pretvarati,pretvara,pretvarao,pretvarala,pretvaralo,pretvarace pretvaracu pretvaraces
zameniti,zameni,zamenio,zamenila,zamenilo,zamenice zamenicu zamenices
smeniti,smeni,smenio,smenila,smenilo,smenice smenicu smenices
meriti,meri,merio,merila,merilo,merice mericu merices
premeriti,premeri,premerio,premerila,premerilo,premerice premericu premerices
zameriti,zameri,zamerio,zamerila,zamerilo,zamerice zamericu zamerices
nameriti,nameri,namerio,namerila,namerilo,namerice namericu namerices
prezalogajiti,prezalogaji,prezalogajio,prezalogajila,prezalogajilo,prezalogajice prezalogajicu prezalogajices
okusiti,okusi,okusio,okusila,okusilo,okusice okusicu okusices
okusati,okusa,okusao,okusala,okusalo,okusace okusacu okusaces
pokusati,pokusa,pokusao,pokusala,pokusalo,pokusace pokusacu pokusaces
opaziti,opazi,opazio,opazila,opazilo,opazice opazicu opazices
zapaziti,zapazi,zapazio,zapazila,zapazilo,zapazice zapazicu zapazices
paziti,pazi,pazio,pazila,pazilo,pazice pazicu pazices
primetiti,primeti,primetio,primetila,primetilo,primetice primeticu primetices
zanimati,zanima,zanimao,zanimala,zanimalo,zanimace zanimacu zanimaces
mrzeti,mrzi,mrzeo,mrzela,mrzlo,mrzece mrzecu mrzeces 
zamrzeti,zamrzi,zamrzeo,zamrzela,zamrzlo,zamrzece zamrzecu zamrzeces
zamrznuti,zamrzne,zamrznuo,zamrznula,zamrznulo,zamrznuce zamrznucu zamrznuces
smrznuti,smrzne,smrznuo,smrznula,smrznulo,smrznuce smrznucu smrznuces
umreti,umre,umro,umrla,umrlo,umrece umrecu umreces
zalediti,zaledi,zaledio,zaledila,zaledilo,zaledice zaledicu zaledices
mahati,mase,mahao,mahala,mahalo,mahace mahacu mahaces
mahnuti,mahne,mahnuo,mahnula,mahnulo,mahnuce mahnucu mahnuces
zamahnuti,zamahne,zamahnuo,zamahnula,zamahnulo,zamahnuce zamahnucu zamahnuces
studirati,studira,studirao,studirala,studiralo,studirace studiracu studiraces
diplomirati,diplomira,diplomirao,diplomirala,diplomiralo,diplomirace diplomiracu diplomiraces
zauzeti,zauzme,zauzeo,zauzela,zauzelo,zauzece zauzecu zauzeces
latiti,lati,latio,latila,latilo,latice laticu latices
oprostiti,oprosti,oprostio,oprostila,oprostilo,oprostice oprosticu oprostices
oprastati,oprasta,oprastao,oprastala,oprastalo,oprastace oprastacu oprastaces
mirisati,mirise,mirisao,mirisala,mirisalo,mirisace mirisacu mirisaces
pomirisati,pomirise,pomirisao,pomirisala,pomirisalo,pomirisace pomirisacu pomirisaces
zamirisati,zamirise,zamirisao,zamirisala,zamirisalo,zamirisace zamirisacu zamirisaces
namirisati,namirise,namirisao,namirisala,namirisalo,namirisace namirisacu namirisaces
pevati,peva,pevao,pevala,pevalo,pevace pevacu pevaces
zapevati,zapeva,zapevao,zapevala,zapevalo,zapevace zapevacu zapevaces
plakati,place,plakao,plakala,plakalo,plakace plakacu plakaces
zaplakati,zaplace,zaplakao,zaplakala,zaplakalo,zaplakace zaplakacu zaplakaces
preplakati,preplace,preplakao,preplakala,preplakalo,preplakace preplakacu preplakaces
puniti,puni,punio,punila,punilo,punice punicu punices
popuniti,popuni,popunio,popunila,popunilo,popunice popunicu popunices
napuniti,napuni,napunio,napunila,napunilo,napunice napunicu napunices
ispuniti,ispuni,ispunio,ispunila,ispunilo,ispunice ispunicu ispunices
prepuniti,prepuni,prepunio,prepunila,prepunilo,prepunice prepunicu prepunices
pamtiti,pamti,pamtio,pamtila,pamtilo,pamtice pamticu pamtices
zapamtiti,zapamti,zapamtio,zapamtila,zapamtilo,zapamtice zapamticu zapamtices
braniti,brani,branio,branila,branilo,branice branicu branices
zabraniti,zabrani,zabranio,zabranila,zabranilo,zabranice zabranicu zabranices
lansirati,lansira,lansirao,lansirala,lansiralo,lansirace lansiracu lansiraces
baciti,baca,bacio,bacila,bacilo,bacice bacicu bacices
izbaciti,izbaca,izbacio,izbacila,izbacilo,izbacice izbacicu izbacices
gostiti,gosti,gostio,gostila,gostilo,gostice gosticu gostices
zaspati,zaspi,zaspao,zaspala,zaspalo,zaspace zaspacu zaspaces
smejati,smeje,smejao,smejala,smejalo,smejace smejacu smejaces
zasmejati,zasmeje,zasmejao,zasmejala,zasmejalo,zasmejace zasmejacu zasmejaces
nasmejati,nasmeje,nasmejao,nasmejala,nasmejalo,nasmejace nasmejacu nasmejaces
sanjati,sanja,sanjao,sanjala,sanjalo,sanjace sanjacu sanjaces
snevati,sneva,snevao,snevala,snevalo,snevace snevecu snevaces
vracati,vraca,vracao,vracala,vracalo,vracace vracacu vracaces
zvoniti,zvoni,zvonio,zvonila,zvonilo,zvonice zvonicu zvonices
pozvoniti,pozvoni,pozvonio,pozvonila,pozvonilo,pozvonice pozvonicu pozvonices
izjaviti,izjavi,izjavio,izjavila,izjavilo,izjavice izjavicu izjavices
pojaviti,pojavi,pojavio,pojavila,pojavilo,pojavice pojavicu pojavices
orati,ore,orao,orala,oralo,orace oracu oraces
uzorati,uzore,uzorao,uzorala,uzoralo,uzorace uzoracu uzoraces
znaciti,znaci,znacio,znacila,znacilo,znacice znacicu znacices
plivati,pliva,plivao,plivala,plivalo,plivace plivacu plivaces
isplivati,ispliva,isplivao,isplivala,isplivalo,isplivace isplivacu isplivaces
preplivati,prepliva,preplivao,preplivala,preplivalo,preplivace preplivacu preplivaces
gnjuriti,gnjuri,gnjurio,gnjurila,gnjurilo,gnjurice gnjuricu gnjurices
surfovati,surfuje,surfovao,surfovala,surfovalo,surfovace surfovacu surfovaces
skijati,skija,skijao,skijala,skijalo,skijace skijacu skijaces
pesaciti,pesaci,pesacio,pesacila,pesacilo,pesacice pesacicu pesacices
prepesaciti,prepesaci,prepesacio,prepesacila,prepesacilo,prepesacice prepesacicu prepesacices
dopesaciti,dopesaci,dopesacio,dopesacila,dopesacilo,dopesacice dopesacicu dopesacices
jahati,jase,jahao,jahala,jahalo,jahace jahacu jahaces
uzjahati,uzjase,uzjahao,uzjahala,uzjahalo,uzjahace uzjahacu uzjahaces
dojahati,dojase,dojahao,dojahala,dojahalo,dojahace dojahacu dojahaces
roditi,rodi,rodio,rodila,rodilo,rodice rodicu rodices
poroditi,porodi,porodio,porodila,porodilo,porodice porodicu porodices
oroditi,orodi,orodio,orodila,orodilo,orodice orodicu orodices
izvestiti,izvesti,izvestio,izvestila,izvestilo,izvestice izvesiticu izvestices
obavestiti,obavesti,obavestio,obavestila,obavestilo,obavestice obavesiticu obavestices
nagovestiti,nagovesti,nagovestio,nagovestila,nagovestilo,nagovestice nagovesiticu nagovestices
izviniti,izvini,izvinio,izvinila,izvinilo,izvinice izvinicu izvinices
izvinjavati,izvinjava,izvinjavao,izvinjavala,izvinjavalo,izvinjavace izvinjavacu izvinjavaces
praviti,pravi,pravio,pravila,pravilo,pravice pravicu pravices
napraviti,napravi,napravio,napravila,napravilo,napravice napravicu napravices
ispaviti,ispravi,ispravio,ispravila,ispravilo,ispravice ispravicu ispravices
popraviti,popravi,popravio,popravila,popravilo,popravice popravicu popravices
imenovati,imenuje,imenovao,imenovala,imenovalo,imenovace imenovacu imenovaces
davati,daje,dao,dala,dalo,dace dacu daces
prodavati,prodaje,prodao,prodala,prodalo,prodace prodacu prodaces
negodovati,negoduje,negodovao,negodovala,negodovalo,negodovace negodovacu negodovaces
interesovati,interesuje,interesovao,interesovala,interesovalo,interesovace interesovacu interesovaces
zainteresovati,zainteresuje,zainteresovao,zainteresovala,zainteresovalo,zainteresovace zainteresovacu zainteresovaces
poistovetiti,poistovecuje,poistovetio,poistovetila,poistovetilo,poistovetice poistoveticu poistovetices
krasti,krade,krao,krala,kralo,krasce krascu krasces
ukrasti,ukrade,ukrao,ukrala,ukralo,ukrasce ukrascu ukrasces
kupovati,kupuje,kupovao,kupovala,kupovalo,kupovace kupovacu kupovaces
nakupovati,nakupuje,nakupovao,nakupovala,nakupovalo,nakupovace nakupovacu nakupovaces
kombinovati,kombinuje,kombinovao,kombinovala,kombinovalo,kombinovace kombinovacu kombinovaces
kopati,kopa,kopao,kopala,kopalo,kopace kopacu kopaces
iskopati,iskopa,iskopao,iskopala,iskopalo,iskopace iskopacu iskopaces
kratiti,krati,kratio,kratila,kratilo,kratice kraticu kratices
prekratiti,prekrati,prekratio,prekratila,prekratilo,prekratice prekraticu prekratices
skratiti,skrati,skratio,skratila,skratilo,skratice skraticu skratices
krasiti,krasi,krasio,krasila,krasilo,krasice krasicu krasices
ukrasiti,ukrasi,ukrasio,ukrasila,ukrasilo,ukrasice ukrasicu ukrasices
ukrasavati,ukrasava,ukrasavao,ukrasavala,ukrasavalo,ukrasavace ukrasavacu ukrasavaces
lezati,lezi,lezao,lezala,lezalo,lezace lezacu lezaces
lagati,laze,lagao,lagala,lagalo,lagace lagacu lagaces
muciti,muci,mucio,mucila,mucilo,mucice mucicu mucices
namuciti,namuci,namucio,namucila,namucilo,namucice namucicu namucices
leciti,leci,lecio,lecila,lecilo,lecice lecicu lecices
lepiti,lepi,lepio,lepila,lepilo,lepice lepicu lepices
prelepiti,prelepi,prelepio,prelepiprela,prelepiprelo,prelepice prelepicu prelepices
zalepiti,zalepi,zalepio,zalepizala,zalepizalo,zalepice zalepicu zalepices
nalepiti,nalepi,nalepio,nalepinala,nalepinalo,nalepice nalepicu nalepices
piti,pije,pio,pila,pilo,pice picu pices
napiti,napije,napio,napila,napilo,napice napicu napices
ispiti,ispije,ispio,ispila,ispilo,ispice ispicu ispices
lomiti,lomi,lomio,lomila,lomilo,lomice lomicu lomices
prelomiti,prelomi,prelomio,prelomiprela,prelomiprelo,prelomice prelomicu prelomices
polomiti,polomi,polomio,polomipola,polomipolo,polomice polomicu polomices
voleti,voli,voleo,volela,volelo,volece volecu voleces
zavoleti,zavoli,zavoleo,zavolela,zavolelo,zavolece zavolecu zavoleces
mazati,maze,mazao,mazala,mazalo,mazace mazacu mazaces
namazati,namaze,namazao,namazala,namazalo,namazace namazacu namazaces
maziti,mazi,mazio,mazila,mazilo,mazice mazicu mazices
pomaziti,pomazi,pomazio,pomazila,pomazilo,pomazice pomazicu pomazices
mimoilaziti,mimoilazi,mimoilazio,mimoilazila,mimoilazilo,mimoilazice mimoilazicu mimoilazices
delovati,deluje,delovao,delovala,delovalo,delovace delovacu delovaces
modelovati,modeluje,modelovao,modelovala,modelovalo,modelovace modelovacu modelovaces
mokriti,mokri,mokrio,mokrila,mokrilo,mokrice mokricu mokrices
namokriti,namokri,namokrio,namokrila,namokrilo,namokrice namokricu namokrices
ubediti,ubedi,ubedio,ubedila,ubedilo,ubedice ubedicu ubedices
ubiti,ubije,ubio,ubila,ubilo,ubice ubicu ubices
pobiti,pobije,pobio,pobila,pobilo,pobice pobicu pobices
uvaziti,uvazi,uvazio,uvazila,uvazilo,uvazice uvazicu uvazices
poznavati,poznaje,poznavao,poznavala,poznavalo,poznavace poznavacu poznavaces
upoznati,upozna,upoznao,upoznala,upoznalo,upoznace upoznacu upoznaces
sluziti,sluzi,sluzio,sluzila,sluzilo,sluzice sluzicu sluzices
upadati,upada,upadao,upadala,upadalo,upadace upadacu upadaces
upasti,upada,upao,upala,upalo,upasce upascu upasces
napasti,napada,napao,napala,napalo,napasce napascu napasces
napadati,napada,napadao,napadala,napadalo,napadace napadacu napadaces
osmehivati,osmehuje,osmehnuo,osmehnula,osmehnulo,osmehnuce osmehnucu osmehnuces
cuti,cuje,cuo,cula,culo,cuce cucu cuces
nacuti,nacuje,nacuo,nacula,naculo,nacuce nacucu nacuces
slusati,slusa,slusao,slusala,slusalo,slusace slusacu slusaces
poslusati,poslusa,poslusao,poslusala,poslusalo,poslusace poslusacu poslusaces
naslusati,naslusa,naslusao,naslusala,naslusalo,naslusace naslusacu naslusaces
preslusati,preslusa,preslusao,preslusala,preslusalo,preslusace preslusacu preslusaces
ustanoviti,ustanovi,ustanovio,ustanovila,ustanovilo,ustanovice ustanovicu ustanovices
uspostaviti,uspostavi,uspostavio,uspostavila,uspostavilo,uspostavice uspostavicu uspostavices
uspostavljati,uspostavlja,uspostavljao,uspostavljala,uspostavljalo,uspostavljace uspostavljacu uspostavljaces
plesati,plese,plesao,plesala,plesalo,plesace plesacu plesaces
zaplesati,zaplese,zaplesao,zaplesala,zaplesalo,zaplesace zaplesacu zaplesaces
trenirati,trenira,trenirao,trenirala,treniralo,trenirace treniracu treniraces
istrenirati,istrenira,istrenirao,istrenirala,istreniralo,istrenirace istreniracu istreniraces
svirati,svira,svirao,svirala,sviralo,svirace sviracu sviraces
odsvirati,odsvira,odsvirao,odsvirala,odsviralo,odsvirace odsviracu odsviraces
trebati,treba,trebao,trebala,trebalo,trebace trebacu trebaces
raditi,radi,radio,radila,radilo,radice radicu radices
proraditi,proradi,proradio,proradila,proradilo,proradice proradicu proradices
naraditi,naradi,naradio,naradila,naradilo,naradice naradicu naradices
preraditi,preradi,preradio,preradila,preradilo,preradice preradicu preradices
zaraditi,zaradi,zaradio,zaradila,zaradilo,zaradice zaradicu zaradices
unervoziti,unervozi,unervozio,unervozila,unervozilo,unezvorice unezvoricu unezvorices
usreciti,usrecuje,usrecio,usrecila,usrecilo,usrecice usrecicu usrecices
veseliti,veseli,veselio,veselila,veselilo,veselice veselicu veselices
razveseliti,razveseli,razveselio,razveselila,razveselilo,razveselice razveselicu razveselices
uveseliti,uveseli,uveselio,uveselila,uveselilo,uveselice uveselicu uveselices
opeci,pece,pekao,pekla,peklo,pecice pecicu pecices
pomoci,pomogne,pomogao,pomogla,pomoglo,pomocice pomocicu pomocices
postati,postane,postao,postala,postalo,postace postacu postaces
liciti,lici,licio,licila,licilo,licice licicu licices
znati,zna,znao,znala,znalo,znace znacu znaces
smatrati,smatra,smatrao,smatrala,smatralo,smatrace smatracu smatraces
posmatrati,posmatra,posmatrao,posmatrala,posmatralo,posmatrace posmatracu posmatraces
nadgledati,nadgleda,nadgledao,nadgledala,nadgledalo,nadgledace nadgledacu nadgledaces
kupiti,kupi,kupio,kupila,kupilo,kupice kupicu kupices
nakupiti,nakupi,nakupio,nakupila,nakupilo,nakupice nakupicu nakupices
sakupiti,sakupi,sakupio,sakupila,sakupilo,sakupice sakupicu sakupices
skupiti,skupi,skupio,skupila,skupilo,skupice skupicu skupices
obuvati,obuva,obuvao,obuvala,obuvalo,obuvace obuvacu obuvaces
nadati,nada,nadao,nadala,nadalo,nadace nadacu nadaces
ponadati,ponada,ponadao,ponadala,ponadalo,ponadace ponadacu ponadaces
saditi,sadi,sadio,sadila,sadilo,sadice sadicu sadices
posaditi,posadi,posadio,posadila,posadilo,posadice posadicu posadices
zasaditi,zasadi,zasadio,zasadila,zasadilo,zasadice zasadicu zasadices
pominjati,pominje,pominjao,pominjala,pominjalo,pominjace pominjacu pominjaces
napominjati,napominje,napominjao,napominjala,napominjalo,napominjace napominjacu napominjaces
gaziti,gazi,gazio,gazila,gazilo,gazice gazicu gazices
nagaziti,nagazi,nagazio,nagazila,nagazilo,nagazice nagazicu nagazices
pregaziti,pregazi,pregazio,pregazila,pregazilo,pregazice pregazicu pregazices
zgaziti,zgazi,zgazio,zgazila,zgazilo,zgazice zgazicu zgazices
gaditi,gadi,gadio,gadila,gadilo,gadice gadicu gadices
nedostajati,nedostaje,nedostajao,nedostajala,nedostajalo,nedostajace nedostajacu nedostajaces
svidjati,svidja,svidjao,svidjala,svidjalo,svidjace svidjacu svidjaces
zasvidjati,zasvidja,zasvidjao,zasvidjala,zasvidjalo,zasvidjace zasvidjacu zasvidjaces
dopadati,dopada,dopadao,dopadala,dopadalo,dopadace dopadacu dopadaces
uvrediti,uvredi,uvredio,uvredila,uvredilo,uvredice uvredicu uvredices
povrediti,povredi,povredio,povredila,povredilo,povredice povredicu povredices
vredjati,vredja,vredjao,vredjala,vredjalo,vredjace vredjacu vredjaces
raspravljati,raspravljao,raspravljala,raspravljalo,raspravljace raspravljacu raspravljaces
osvrnuti,osvrne,osvrnuo,osvrnula,osvrnulo,osvrnuce osvrnucu osvrnuces
obavezati,obavezuje,obavezao,obavezala,obavezalo,obavezace obavezacu obavezaces
ocekivati,ocekuje,ocekivao,ocekivala,ocekivalo,ocekivace ocekivacu ocekivaces
pokriti,pokrije,pokrio,pokrila,pokrilo,pokrice pokricu pokrices
pokazati,pokazuje,pokazao,pokazala,pokazalo,pokazace pokazacu pokazaces
prikazati,prikazuje,prikazao,prikazala,prikazalo,prikazace prikazacu prikazaces
ukazati,ukazuje,ukazao,ukazala,ukazalo,ukazace ukazacu ukazaces
odrediti,odredjuje,odredio,odredila,odredilo,odredice odredicu odredices
poslati,posalje,poslao,poslala,poslalo,poslace poslacu poslaces
dvoumiti,dvoumi,dvoumio,dvoumila,dvoumilo,dvoumice dvoumicu dvoumices
izleciti,izleci,izlecio,izlecila,izlecilo,izlecice izlecicu izlecices
prezirati,prezire,prezirao,prezirala,preziralo,prezirace preziracu preziraces
maltretirati,maltretira,maltretirao,maltretirala,maltretiralo,maltretirace maltretiracu maltretiraces
racunati,racuna,racunao,racunala,racunalo,racunace racunacu racunaces
izracunati,izracuna,izracunao,izracunala,izracunalo,izracunace izracunacu izracunaces
prizeljkivati,prizeljkuje,prizeljkivao,prizeljkivala,prizeljkivalo,prizeljkivace prizeljkivacu prizeljkivaces
morati,mora,morao,morala,moralo,morace moracu moraces
primorati,primora,primorao,primorala,primoralo,primorace primoracu primoraces
uzivati,uziva,uzivao,uzivala,uzivalo,uzivace uzivacu uzivaces
oduzimati,oduzima,oduzimao,oduzimala,oduzimalo,oduzimace oduzimacu oduzimaces
oduzeti,oduzme,oduzeo,oduzela,oduzelo,oduzece oduzecu oduzeces
gubiti,gubi,gubio,gubila,gubilo,gubice gubicu gubices
izgubiti,izgubi,izgubio,izgubila,izgubilo,izgubice izgubicu izgubices
izbegavati,izbegava,izbegavao,izbegavala,izbegavalo,izbegavace izbegavacu izbegavaces
ulivati,uliva,ulivao,ulivala,ulivalo,ulivace ulivacu ulivaces
polivati,poliva,polivao,polivala,polivalo,polivace polivacu polivaces
zalivati,zaliva,zalivao,zalivala,zalivalo,zalivace zalivacu zalivaces
prelivati,preliva,prelivao,prelivala,prelivalo,prelivace prelivacu prelivaces
dodati,doda,dodao,dodala,dodalo,dodace dodacu dodaces
dodavati,dodaje,dodavao,dodavala,dodavalo,dodavace dodavacu dodavaces
pridodati,pridoda,pridodao,pridodala,pridodalo,pridodace pridodacu pridodaces
nadodati,nadoda,nadodao,nadodala,nadodalo,nadodace nadodacu nadodaces
ljutite,ljuti,ljutio,ljutila,ljutilo,ljutice ljuticu ljutices
naljutite,naljuti,naljutio,naljutila,naljutilo,naljutice naljuticu naljutices
razljutite,razljuti,razljutio,razljutila,razljutilo,razljutice razljuticu razljutices
poginuti,pogine,poginuo,poginula,poginulo,poginuce poginucu poginuces
